gap_id,start_date,end_date,length_days,gap_class,seasons,extrapolation_beyond_validation,scenario_only_256day,tsicl_satellite_proxy_mean_pred_chl,tsicl_satellite_proxy_n_days,engineered_hybrid_mean_reconstructed_chl,engineered_hybrid_method,engineered_hybrid_n_days,note_artificial_validation,note_real_gap_caveat,note_256day_scenario
REAL_L010_20150701,2015-07-01,2015-07-14,14,medium,JJA,no,False,1.9258,14,1.0391,state_space_kalman,14,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L010_20150804,2015-08-04,2015-08-18,15,medium,JJA,interpolation_within_range,False,4.1708,15,4.4743,state_space_kalman,15,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20150914,2015-09-14,2015-09-14,1,short,SON,no,False,12.5289,1,13.1607,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20151019,2015-10-19,2015-10-19,1,short,SON,no,False,7.9674,1,7.7469,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20151109,2015-11-09,2015-11-13,5,short,SON,interpolation_within_range,False,1.5203,5,1.5094,state_space_kalman,5,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L031_20151130,2015-11-30,2016-01-13,45,long,DJF,yes,False,3.0083,45,1.6629,gap_edge_residual_model,45,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20160201,2016-02-01,2016-02-04,4,short,DJF,interpolation_within_range,False,3.6192,4,3.5495,state_space_kalman,4,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20160616,2016-06-16,2016-06-21,6,short,JJA,interpolation_within_range,False,0.9464,6,0.8845,state_space_kalman,6,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20160719,2016-07-19,2016-07-21,3,short,JJA,no,False,2.2437,3,2.936,gaussian_process,3,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20160726,2016-07-26,2016-07-26,1,short,JJA,no,False,2.4046,1,2.4491,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20160728,2016-07-28,2016-07-30,3,short,JJA,no,False,1.4185,3,1.3885,gaussian_process,3,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20160803,2016-08-03,2016-08-03,1,short,JJA,no,False,1.3928,1,1.3987,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20160805,2016-08-05,2016-08-05,1,short,JJA,no,False,2.0303,1,2.0151,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20160809,2016-08-09,2016-08-10,2,short,JJA,interpolation_within_range,False,7.7629,2,8.6429,gaussian_process,2,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20160816,2016-08-16,2016-08-16,1,short,JJA,no,False,9.0073,1,10.3683,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20160823,2016-08-23,2016-08-24,2,short,JJA,interpolation_within_range,False,7.592,2,7.6674,gaussian_process,2,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20160830,2016-08-30,2016-08-30,1,short,JJA,no,False,4.2401,1,4.4407,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20160906,2016-09-06,2016-09-06,1,short,SON,no,False,8.433,1,8.4077,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20160909,2016-09-09,2016-09-09,1,short,SON,no,False,13.4618,1,14.1884,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20160916,2016-09-16,2016-09-16,1,short,SON,no,False,7.8245,1,8.2887,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20160923,2016-09-23,2016-09-23,1,short,SON,no,False,1.6141,1,1.7003,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20160930,2016-09-30,2016-09-30,1,short,SON,no,False,4.6973,1,4.909,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20161007,2016-10-07,2016-10-07,1,short,SON,no,False,2.5806,1,2.7022,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20161014,2016-10-14,2016-10-14,1,short,SON,no,False,6.7332,1,7.2441,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20161021,2016-10-21,2016-10-21,1,short,SON,no,False,5.3967,1,5.4801,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20161028,2016-10-28,2016-10-28,1,short,SON,no,False,15.6207,1,15.5564,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20161106,2016-11-06,2016-11-06,1,short,SON,no,False,6.8671,1,6.8495,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20161120,2016-11-20,2016-11-20,1,short,SON,no,False,3.8359,1,3.9236,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20161127,2016-11-27,2016-11-27,1,short,SON,no,False,3.3952,1,3.3523,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20161204,2016-12-04,2016-12-04,1,short,DJF,no,False,5.0055,1,5.4459,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20161211,2016-12-11,2016-12-11,1,short,DJF,no,False,5.3844,1,5.4093,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20161218,2016-12-18,2016-12-18,1,short,DJF,no,False,8.6476,1,8.0697,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20161225,2016-12-25,2016-12-25,1,short,DJF,no,False,5.5481,1,7.1266,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170101,2017-01-01,2017-01-01,1,short,DJF,no,False,6.0519,1,7.1089,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L031_20170104,2017-01-04,2017-02-08,36,long,DJF,yes,False,4.9658,36,3.7892,gap_edge_residual_model,36,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170311,2017-03-11,2017-03-11,1,short,MAM,no,False,0.7253,1,0.78,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170318,2017-03-18,2017-03-19,2,short,MAM,interpolation_within_range,False,8.1263,2,7.9197,gaussian_process,2,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170325,2017-03-25,2017-03-26,2,short,MAM,interpolation_within_range,False,5.3173,2,4.4168,gaussian_process,2,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170401,2017-04-01,2017-04-01,1,short,MAM,no,False,2.3307,1,2.2612,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170505,2017-05-05,2017-05-05,1,short,MAM,no,False,0.8441,1,0.8073,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170510,2017-05-10,2017-05-15,6,short,MAM,interpolation_within_range,False,0.9974,6,0.9124,state_space_kalman,6,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170517,2017-05-17,2017-05-17,1,short,MAM,no,False,0.6515,1,0.6751,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170524,2017-05-24,2017-05-24,1,short,MAM,no,False,1.3274,1,1.2403,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170531,2017-05-31,2017-05-31,1,short,MAM,no,False,0.9469,1,0.9375,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170607,2017-06-07,2017-06-07,1,short,JJA,no,False,3.3456,1,3.2914,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170614,2017-06-14,2017-06-14,1,short,JJA,no,False,2.932,1,3.0578,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170621,2017-06-21,2017-06-21,1,short,JJA,no,False,1.3691,1,1.3538,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170705,2017-07-05,2017-07-05,1,short,JJA,no,False,0.5809,1,0.5341,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L010_20170711,2017-07-11,2017-07-21,11,medium,JJA,interpolation_within_range,False,1.4438,11,1.3294,state_space_kalman,11,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170802,2017-08-02,2017-08-02,1,short,JJA,no,False,4.4169,1,4.6013,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170809,2017-08-09,2017-08-09,1,short,JJA,no,False,4.5671,1,4.8339,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170816,2017-08-16,2017-08-16,1,short,JJA,no,False,9.4039,1,9.4001,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170823,2017-08-23,2017-08-28,6,short,JJA,interpolation_within_range,False,8.9334,6,11.4508,state_space_kalman,6,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170830,2017-08-30,2017-08-30,1,short,JJA,no,False,7.7646,1,8.0043,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170906,2017-09-06,2017-09-06,1,short,SON,no,False,2.3714,1,2.4277,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20170920,2017-09-20,2017-09-20,1,short,SON,no,False,5.8484,1,5.8755,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20171018,2017-10-18,2017-10-18,1,short,SON,no,False,13.5364,1,15.5037,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20171111,2017-11-11,2017-11-11,1,short,SON,no,False,16.0349,1,16.9398,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20171118,2017-11-18,2017-11-18,1,short,SON,no,False,16.8298,1,18.8083,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20171125,2017-11-25,2017-11-25,1,short,SON,no,False,32.5224,1,33.3515,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20171202,2017-12-02,2017-12-02,1,short,DJF,no,False,4.3595,1,5.7805,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20171209,2017-12-09,2017-12-09,1,short,DJF,no,False,4.2363,1,4.6526,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20171216,2017-12-16,2017-12-16,1,short,DJF,no,False,4.0198,1,4.3898,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20171219,2017-12-19,2017-12-19,1,short,DJF,no,False,7.1654,1,7.2479,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20171229,2017-12-29,2017-12-29,1,short,DJF,no,False,5.182,1,5.3718,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180105,2018-01-05,2018-01-05,1,short,DJF,no,False,3.1366,1,2.6386,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180112,2018-01-12,2018-01-12,1,short,DJF,no,False,6.4933,1,7.6848,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180119,2018-01-19,2018-01-19,1,short,DJF,no,False,3.1737,1,3.1026,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180126,2018-01-26,2018-01-26,1,short,DJF,no,False,1.2793,1,1.241,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180202,2018-02-02,2018-02-02,1,short,DJF,no,False,11.8156,1,10.767,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180209,2018-02-09,2018-02-09,1,short,DJF,no,False,1.8877,1,1.9811,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180216,2018-02-16,2018-02-16,1,short,DJF,no,False,2.7765,1,2.6863,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180308,2018-03-08,2018-03-09,2,short,MAM,interpolation_within_range,False,1.621,2,1.4708,gaussian_process,2,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180316,2018-03-16,2018-03-16,1,short,MAM,no,False,2.249,1,2.3133,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180323,2018-03-23,2018-03-23,1,short,MAM,no,False,7.7328,1,7.8131,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180330,2018-03-30,2018-03-30,1,short,MAM,no,False,10.6063,1,10.8142,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180406,2018-04-06,2018-04-06,1,short,MAM,no,False,1.8026,1,2.0029,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180420,2018-04-20,2018-04-20,1,short,MAM,no,False,2.0351,1,2.1001,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180504,2018-05-04,2018-05-04,1,short,MAM,no,False,8.8984,1,8.4475,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180511,2018-05-11,2018-05-11,1,short,MAM,no,False,4.3736,1,4.8242,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180525,2018-05-25,2018-05-25,1,short,MAM,no,False,4.4745,1,4.685,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180601,2018-06-01,2018-06-01,1,short,JJA,no,False,2.0703,1,1.9736,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180608,2018-06-08,2018-06-08,1,short,JJA,no,False,2.8909,1,2.5628,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20180615,2018-06-15,2018-06-15,1,short,JJA,no,False,1.4472,1,1.5469,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
